注释;英语;简体中文;繁体中文;西班牙语;俄语;葡萄牙语;德语;韩语;日语;法语;意大利语;阿拉伯语
各种语言的英文单词;English;Simplified Chinese;traditional Chinese;Spanish;Russian;Portuguese;German;Korean;Japanese;French;Italian;Arabic
语言本地化单词;English;简体中文;繁体中文;Español;русский;português;Deutsche; 한국어;日本語;français;italiano;العربية
字体类型;Franklin Gothic Medium Cond.ttf;;;;;;;;;;;
字号缩放;1;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95
;;;;;;;;;;;;
;HOME;首页;首頁;CASA;домой;CASA;ZUHAUSE;홈;ホーム;DOMICILE;CASA;الصفحة الرئيسية
;MUSIC;音乐;音樂;MÚSICA;музыка;MÚSICA;MUSIK;음악;音楽;LA MUSIQUE;MUSICA;موسيقى
;REWARD;奖励;獎勵;RECOMPENSA;награда;RECOMPENSA;BELOHNUNG;장려;奨励;RÉCOMPENSE;RICOMPENSA;جائزة او مكافاة
;SETTING;设置;設定;AJUSTE;окружение;CONFIGURAÇÃO;RAHMEN;설치;設置;RÉGLAGE;IMPOSTAZIONE;ضبط
;Unlock success!;解锁成功！;解鎖成功！;Desbloquear el éxito!;Разблокировать успех!;Desbloquear sucesso!;Schalte Erfolg!;잠금 해제 성공!;ロック解除に成功しました！;Débloquez le succès!;Sblocca il successo!;فتح النجاح!
;Not enough coins!;金币不足！;金幣不足！;¡No hay suficientes monedas!;Недостаточно монет!;Não o suficiente moedas!;Nicht genug Münzen!;골드 부족!;ゴールド不足！;Pas assez de pièces!;Non abbastanza monete!;ليست نقود كافية!
;Not life!;生命值不足！;生命值不足！;No es la vida!;Не жизнь!;Não vida!;Nicht das Leben!;삶의 값 미만!;人生の値よりも小さいです！;Pas la vie!;Non la vita!;لا حياة!
;Buy success!;购买成功！;購買成功！;Comprar el éxito!;Купить успех!;Compre sucesso!;Kaufen Sie Erfolg!;성공을 구입하세요!;成功を購入！;Acheter succès!;Acquista successo!;شراء النجاح!
;Sign in %d consecutive days.;连续签到%d天;連續簽到%d天;Iniciar sesión en %d días consecutivos.;Войти %d дней подряд.;Entre %d dias consecutivos.;Anmeldung in %d aufeinanderfolgenden Tagen.;연속 출석%d일;連続出席の%d日;Inscrivez-vous dans %d jours consécutifs.;Entra in %d giorni consecutivi.;التوقيع في %d أيام متتالية.
;Sign in next day.;明天再过来领取奖励;明天再過來領取獎勵;Iniciar sesión en el día siguiente.;Войти на следующий день.;Entrar no dia seguinte.;Melden Sie sich am nächsten Tag.;내일 상을받을 자;明日賞を受け取るために、是非;Connectez-vous lendemain.;Accedi giorno successivo.;تسجيل الدخول اليوم التالي.
;If you like this game, please rate for us.;如果你喜欢本游戏，请打个分;如果你喜歡本遊戲，請打個分;Si te gusta este juego, por favor califique para nosotros.;Если вам понравилась эта игра, пожалуйста, оцените для нас.;Se você gosta deste jogo, por favor classifique para nós.;Wenn Sie dieses Spiel Spaß macht, bitte für uns bewerten.;이 게임이 마음에 들면 사항을 확인하시기 바랍니다;あなたはこのゲームが好きなら、ポイントを作成してください;Si vous aimez ce jeu, s'il vous plaît noter pour nous.;Se ti piace questo gioco, dai un voto prega per noi.;إذا كنت تحب هذه اللعبة، يرجى تقييم بالنسبة لنا.
;Watch video for %d coins.;观看视频将获得%d个金币;觀看視頻將獲得%d個金幣;Vea el video para monedas de %d.;Смотрите видео за %d монет.;Assista ao vídeo por %d moedas.;Sehen Sie Video für %d Münzen.;동영상보기 %d 골드를 받게됩니다;ビデオは%d金貨を得見ます;Regardez la vidéo pour %d pièces de monnaie.;Guarda il video per %d monete.;مشاهدة فيديو عن %d قطعة نقدية.
;Video haven't load, please try again later!;视频广告未加载成功，请稍后再尝试;視頻廣告未加載成功，請稍後再嘗試;El video no tiene carga, por favor inténtelo de nuevo más tarde!;Видео не загружается, повторите попытку позже!;Vídeo não tem carregar, por favor, tente novamente mais tarde!;Video haben nicht geladen werden, bitte versuchen Sie es später noch einmal!;동영상 광고는 나중에 다시 시도, 성공하지 못한;動画広告は、後で再試行して、成功しません。;Vidéo ont pas charger, s'il vous plaît réessayer plus tard!;Il video non ha carica, si prega di riprovare più tardi!;فيديو لم يتم تحميلها، يرجى المحاولة مرة أخرى في وقت لاحق!
;Restore game progress success!;恢复游戏进度成功！;恢復遊戲進度成功！;Restaurar el éxito del progreso del juego!;Восстановление игры успех прогресс!;Restaurar jogo sucesso progresso!;Wiederherstellung Spielfortschritt Erfolg!;게임 진행의 성공을 복원!;ゲーム進行の成功を復元！;Restaurer jeu progrès succès!;Ripristinare gioco di successo progresso!;استعادة اللعبة نجاح التقدم!
;Back;返回;返回;Espalda;назад;Costas;Zurück;반환;;Arrière;Indietro;الى الخلف
;Done;确定;確定;Hecho;Готово;Feito;Erledigt;결정;;Terminé;Fatto;فعله
;Endless Rush;无尽冲刺;無盡衝刺;fiebre sin fin;Бесконечные Rush;corrida sem fim;Endlose Rausch;끝없는 질주;エンドレススプリント;Rush sans fin;Rush Endless;راش لا نهاية لها
;Sound;声音;聲音;Sonar;звук;Som;Klingen;소리;サウンド;Sonner;Suono;صوت
;Leaderboard;排行榜;排行榜;clasificación;Leaderboard;Leaderboard;Bestenliste;리더;リーダーボード;Leaderboard;Classifica;المتصدرين
;More game;更多游戏;更多遊戲;Más juego;Больше игр;Mais jogo;Weitere Spiel;더 많은 게임;その他のゲーム;Plus de jeux;Più gioco;المزيد من الالعاب
;Language;语言;語言;Idioma;язык;Língua;Sprache;언어;言語;La langue;Lingua;لغة
;Recovery Progress;恢复游戏进度;恢復遊戲進度;Restaurar;Восстановить;Restaurar;Erholung Fortschritt;게임 진행 복원;リカバリ進捗状況;Recovery Progress;Recupero Progress;انتعاش التقدم
;Comment;评分;評分;Comentario;Комментарий;Comente;Kommentar;점수;スコア;Commentaire;Commento;التعليق
;Piano Tiles 3;踩白块 3;踩白塊 3;Azulejos de piano 3;;Telhas de piano 3;Piano Fliesen 3;피아노 타일 3;ピアノのタイル3;Piano Tuiles 3;Piastrelle Piano 3;بلاط البيانو 3
;No;开;開;;;;;;;Non;;
;Off;关;關;;;;;;;De;;
;Go;;;Ir;;Ir;;;;Aller;;اذهب
;Play;开始;開始;Jugar;Играть;Toque;Spielen;시작;開始;Jouer;Giocare;لعب
;RESUME;继续;繼續;CONTINUAR;РЕЗЮМЕ;CURRÍCULO;FORTSETZEN;계속;続けます;CV;PROSEGUIRE;استئنف
;RESTART;重玩;重玩;REINICIAR;ПОВТОР;REINICIAR;NEUSTART;재생;再起動;REPR;RICOMINCIA;إعادة بدء
;HOME;结束;結束;CASA;ГЛАВНАЯ;CASA;ZUHAUSE;끝;ホーム;DOMICILE;CASA;الصفحة الرئيسية
;LEVEL;等级;等級;NIVEL;УРОВЕНЬ;NÍVEL;EBENE;평가;レベル;NIVEAU;LIVELLO;مستوى
;Upgrade awards;升级奖励;升級獎勵;premios de ascenso;Награды;prêmios de upgrade;Upgrade-Prämien;업그레이드 수상;賞をアップグレード;prix de mise à niveau;upgrade premio;جوائز الترقية
;Unlock;解锁;解鎖;desbloquear;отпереть;destravar;aufschließen;잠금 해제;アンロック;Ouvrir;Sbloccare;فتح
;BUY COINS;购买金币;購買金幣;MONEDAS;МОНЕТЫ;MOEDAS;COINS;금화 구매;ゴールド;PIÈCES;MONETE;شراء عملات
;Watch;观看;觀看;Reloj;Часы;Assistir;Uhr;시계;ウォッチ;Regarder;Orologio;راقب
;BUY LIFE;购买生命;購買生命;VIDA;ЖИЗНЬ;VIDA;LEBEN;최신 생활;せいめい;LA VIE;VITA;شراء حياة
;SONGS UNLOCK;歌曲解锁;歌曲解鎖;DESBLOQUEAR;РАЗБЛОКИРУЙТЕ;DESBLOQUEAR;SONGS UNLOCK;노래의 잠금을 해제;曲のロックを解除;CHANSONS UNLOCK;SONGS SBLOCCARE;الأغاني فتح
;NO;取消;取消;NO;НЕТ;NÃO;NEIN;취소;;NON;NO;لا
;YES;确定;確定;SÍ;ДА;SIM;JA;결정;;OUI;SÌ;نعم فعلا
;OK;确定;確定;;ОК;;OK;결정;;D'accord;ok;حسنا
;Need to reach %d level to unlock '%s'.;需要到达%d级才能解锁歌曲“%s”;需要達到%d級才能解鎖歌曲“%s”;Necesidad de llegar a %d nivel para desbloquear '%s'.;Нужно достичь %d уровня, чтобы разблокировать "%s".;Precisa chegar a %d nível para desbloquear '%s'.;Sie benötigen %d Level zu erreichen '%s' zu entsperren.;우리는 %d에 도달해야노래 "%s"잠금을 해제하려면;レベル%dに到達歌「%s」をロック解除;Besoin d'atteindre %d niveau pour débloquer '%s'.;Necessità di raggiungere %d livello per sbloccare '%s'.;تحتاج للوصول إلى مستوى %d لفتح '%s'.
;Do you spend %d coins to unlock '%s'?;你是否使用%d金币解锁歌曲“%s”？;你是否使用%d金幣解鎖歌曲“%s”?;¿Pasa %d monedas para desbloquear '%s'?;Вы проводите %d монеты, чтобы разблокировать "%s"?;Você gasta %d moedas para desbloquear '%s'?;Verbringen Sie %d Münzen '%s' zu entsperren?;당신은 %d 골드를 사용하십니까노래 "%s"잠금 해제?;%d金貨歌「%s」をロック解除？;Passez-vous %d des pièces de monnaie pour débloquer '%s'?;Si spendono %d monete per sbloccare '%s'?;هل تنفق %d عملات معدنية لفتح '%s'؟
;To continue the game?;继续游戏？;繼續遊戲？;Continuar el juego?;Чтобы продолжить игру?;Para continuar o jogo?;Um das Spiel fortsetzen?;게임을 계속하려면?;ゲームを続行するには？;Pour continuer le jeu?;Per continuare il gioco?;لمواصلة اللعبة؟
;Cancel;取消;取消;Cancelar;Отмена;Cancelar;Stornieren;취소;;Annuler;Annulla;إلغاء
;Get;获取;獲取;;;Obter;Erhalten;;ゲット;Obtenez;Ottenere;الحصول
;Get it free;免费获取;免費獲取;Gratis;Свободно;Livre;Frei;무료;無料で取得;Gratuit;Gratuito;حر
;Loading...;加载中...;加載中...;;Loading...;;Laden...;로드 중 ...;;;;
;Access;进入;進入;Acceso;доступа;Acesso;Zugriff;입력;入力します;Accès;Accesso;وصول
;Top Apps;应用推荐;應用推薦;Mejores aplicaciones;Лучшие приложения;Top das Aplicações;Top Anwendungen;추천 응용 프로그램;推奨アプリケーション;Meilleures applications;Migliori applicazioni;افضل البرامج
;Best score:%d;最高分:%d;最高分:%d;Mejor puntaje:%d;Лучший балл: %d;Melhor pontuação: %d;Beste Punktzahl: %d;최고 점수 : %d;最高スコア：%d;Meilleur score: %d;Miglior punteggio: %d;أفضل النتيجة: %d
;New music unlock;新解锁歌曲;新解鎖歌曲;Nueva música de desbloqueo;Новая музыка разблокировки;New desbloqueio música;Neue Musik Unlock;새로운 노래를 잠금 해제;新しい曲のロックを解除;Nouveau déverrouillage de la musique;Nuovo sblocco musica;فتح الموسيقى الجديدة
;LEVEL UP;升级;升級;;;UPAR;AUFLEVELN;업그레이드;;;LEVEL UP;مستوى اعلى
;Get the rewards;获取奖励;獲取獎勵;Obtener;Получить;Obter;Erhalten;보상을 받기;報酬をゲット;Obtenez;Ottenere;الحصول على المكافآت
;NEW MUSIC UNLOCK;新解锁歌曲;新解鎖歌曲;Nuevo abra MUSIC;;;;새로운 노래를 잠금 해제;曲のロックを解除;;;فتح الموسيقى الجديدة
;Level;等级;等級;Nivel;уровень;Nível;Ebene;평가;レベル;Niveau;Livello;مستوى
;START;开始;開始;;;;;시작;開始;;INIZIO;بداية
